year,nace_r2_name,nace_r2_code,valueCAP,valueCAPEconComp_QI,valueCAPICT_QI,valueCAPInnovprop_QI,valueCAPIntang_QI,valueCAPNICT_QI,valueCAPTang_QI,valueCAP_QI,valueLAB,valueLAB_QI,valueLP1ConEconComp,valueLP1ConInnovprop,valueLP1ConIntang,valueLP1ConIntangNA,valueLP1ConIntangnonNA,valueLP1ConLC,valueLP1ConTFP,valueLP1ConTangICT,valueLP1ConTangNICT,valueLP1Con_Soft_DB,valueLP1TFP_I,valueLP1_G,valueLP2ConEconComp,valueLP2ConIntang,valueLP2ConIntangNA,valueLP2ConIntangnonNA,valueLP2ConLC,valueLP2ConTFP,valueLP2ConTangICT,valueLP2ConTangNICT,valueLP2Con_Soft_DB,valueLP2TFP_I,valueLP2_G,valueVAConEconComp,valueVAConH,valueVAConInnovprop,valueVAConIntang,valueVAConIntangNA,valueVAConIntangnonNA,valueVAConLC,valueVAConTFP,valueVAConTangICT,valueVAConTangNICT,valueVACon_Soft_DB,valueVATFP_I,valueVAadj_G
1996,"Manufacture of computer, electronic and optical products",C26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.605402,,,,,,,,,,,,,37.999092
1996,Manufacture of electrical equipment,C27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.022232,,,,,,,,,,,,,29.715611
1996,Manufacture of food products; beverages and tobacco products,C10-C12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9189041,,,,,,,,,,,,,1.9922959
1996,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",C31-C33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2356224,,,,,,,,,,,,,-.083428741
1996,Manufacture of machinery and equipment n.e.c.,C28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.370524,,,,,,,,,,,,,4.1343493
1996,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",C29-C30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.429758,,,,,,,,,,,,,29.996469
1996,Manufacture of rubber and plastic products and other non-metallic mineral products,C22-C23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.012757257,,,,,,,,,,,,,-2.0142877
1996,"Manufacture of textiles, wearing apparel, leather and related products",C13-C15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5445743,,,,,,,,,,,,,5.6167598
1996,"Manufacture of wood, paper, printing and reproduction",C16-C18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2430542,,,,,,,,,,,,,3.7424896
1996,Manufacturing,C,602438.25,46.994835,15.953894,49.582237,45.747742,11.278937,5.811729,20.640959,789845.06,,.61962569,.13571525,.86193997,.016018115,.84592187,,,,-21.037296,,,4.2117496,.52996266,.65887749,-.042418677,.70129621,,,,-21.08305,,,3.6367137,.63843483,.068637885,.15784806,.90453762,.028276764,.87626094,,,,-21.027699,,,4.3323779
1996,"Market economy (all industries excluding L, O, P, Q, T and U)",MARKT,1749199.8,48.401955,13.550476,38.538322,41.228161,52.757545,54.422676,51.730404,3150210,,.11473658,.10771799,.26009205,.11986426,.14022782,,,,-16.606033,,,.34140041,.12574033,.28053644,.12189321,.15864322,,,,-16.502113,,,.68973547,.15186296,.75527495,.12830684,.32907084,.12670994,.20236091,,,,-16.255413,,,1.516675
1996,Mining and quarrying,B,10147.281,213.91386,4.5662551,170.0345,170.16891,115.74265,115.74265,118.98808,17996,,-.049752083,.04461056,-.0039610621,.0011804665,-.0051415153,,,,.48101413,,,4.0433397,-.051724568,-.010190884,.0011597241,-.011350594,,,,.41377187,,,3.8395662,-.083619364,-2.3086131,-.028131276,-.11092632,.000824321,-.11175063,,,,-.673527,,,.54457647
1996,Non-agricultural market economy (Market economy less industry A),MARKTxAG,1725843.1,48.240742,13.570216,38.506596,41.17387,43.145031,44.642307,43.864838,2642515.5,,.22114667,.18290576,.47511941,.18511656,.29000294,,,,-21.853191,,,.96492505,.20294814,.44148621,.18179105,.2596952,,,,-21.971325,,,.58078206,.22829473,.091336831,.18680605,.48833001,.18642277,.3019073,,,,-21.806791,,,1.1158097
1996,Other service activities,S,66106.086,62.833302,4.8215656,84.862587,65.274101,184.78316,186.1181,178.28198,73514.141,,.036581084,.04512465,.085688233,.033634685,.052053533,,,,.12370878,,,-3.9457386,.035152603,.082477055,.032919616,.049557444,,,,-.0079403324,,,-4.2305717,.013291847,-2.3156652,.017018951,.033335004,.021976504,.011358499,,,,-2.0226307,,,-8.5895166
1996,Postal and courier activities,H53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.532261,,,,,,,,,,,,,-11.890448
1996,"Professional, scientific and technical activities",M,88222.078,38.256794,11.26818,33.736828,33.165298,72.379494,116.55122,59.960556,186941.67,,.61466217,2.1990588,2.9085765,1.8523554,1.056221,,,,1.0446053,,,20.956507,.55458426,2.7074118,1.7701721,.93723971,,,,.69080591,,,19.22558,.30824444,-5.886807,1.5188893,1.8825696,1.4331931,.44937629,,,,-.75989032,,,12.1282
